,RULE,BODY,HEAD,CONFIDENCE
0,"G88_Down,G59_Up",G88_Down,G59_Up,0.7746478873239436
1,"G59_Up,G88_Down",G59_Up,G88_Down,0.7236842105263158
2,"G88_Down,G38_Down",G88_Down,G38_Down,0.704225352112676
3,"G88_Down,G41_Down",G88_Down,G41_Down,0.7323943661971831
4,"G41_Down,G88_Down",G41_Down,G88_Down,0.8125
5,"G88_Down,G54_Up",G88_Down,G54_Up,0.7323943661971831
6,"G54_Up,G88_Down",G54_Up,G88_Down,0.7761194029850746
7,"G88_Down,G28_Down",G88_Down,G28_Down,0.7323943661971831
8,"G28_Down,G88_Down",G28_Down,G88_Down,0.7323943661971831
9,"G88_Down,G24_Down",G88_Down,G24_Down,0.704225352112676
10,"G24_Down,G88_Down",G24_Down,G88_Down,0.7936507936507936
11,"G88_Down,G10_Down",G88_Down,G10_Down,0.7323943661971831
12,"G10_Down,G88_Down",G10_Down,G88_Down,0.7428571428571429
13,"G88_Down,G87_Up",G88_Down,G87_Up,0.7605633802816901
14,"G87_Up,G88_Down",G87_Up,G88_Down,0.8059701492537313
15,"G88_Down,G08_Up",G88_Down,G08_Up,0.7183098591549296
16,"G08_Up,G88_Down",G08_Up,G88_Down,0.7727272727272727
17,"G38_Down,G59_Up",G38_Down,G59_Up,0.726027397260274
18,"G72_Up,G59_Up",G72_Up,G59_Up,0.8378378378378378
19,"G59_Up,G72_Up",G59_Up,G72_Up,0.8157894736842105
20,"G28_Down,G59_Up",G28_Down,G59_Up,0.7183098591549296
21,"G06_Up,G59_Up",G06_Up,G59_Up,0.7727272727272727
22,"G10_Down,G59_Up",G10_Down,G59_Up,0.7142857142857143
23,"G87_Up,G59_Up",G87_Up,G59_Up,0.7611940298507462
24,"G01_Up,G59_Up",G01_Up,G59_Up,0.7681159420289855
25,"G59_Up,G13_Down",G59_Up,G13_Down,0.7105263157894737
26,"G13_Down,G59_Up",G13_Down,G59_Up,0.7941176470588235
27,"G96_Down,G59_Up",G96_Down,G59_Up,0.8591549295774648
28,"G59_Up,G96_Down",G59_Up,G96_Down,0.8026315789473685
29,"G82_Down,G59_Up",G82_Down,G59_Up,0.8382352941176471
30,"G59_Up,G82_Down",G59_Up,G82_Down,0.75
31,"G32_Down,G59_Up",G32_Down,G59_Up,0.7647058823529411
32,"G41_Down,G38_Down",G41_Down,G38_Down,0.78125
33,"G67_Up,G38_Down",G67_Up,G38_Down,0.8225806451612904
34,"G70_Down,G38_Down",G70_Down,G38_Down,0.8181818181818182
35,"G38_Down,G70_Down",G38_Down,G70_Down,0.7397260273972602
36,"G65_Down,G38_Down",G65_Down,G38_Down,0.819672131147541
37,"G94_Up,G38_Down",G94_Up,G38_Down,0.8225806451612904
38,"G38_Down,G28_Down",G38_Down,G28_Down,0.7534246575342466
39,"G28_Down,G38_Down",G28_Down,G38_Down,0.7746478873239436
40,"G02_Down,G38_Down",G02_Down,G38_Down,0.7575757575757576
41,"G52_Down,G38_Down",G52_Down,G38_Down,0.8461538461538461
42,"G38_Down,G52_Down",G38_Down,G52_Down,0.7534246575342466
43,"G06_Up,G38_Down",G06_Up,G38_Down,0.7575757575757576
44,"G91_Up,G38_Down",G91_Up,G38_Down,0.8153846153846154
45,"G38_Down,G91_Up",G38_Down,G91_Up,0.726027397260274
46,"G38_Down,G10_Down",G38_Down,G10_Down,0.726027397260274
47,"G10_Down,G38_Down",G10_Down,G38_Down,0.7571428571428571
48,"G38_Down,G01_Up",G38_Down,G01_Up,0.7397260273972602
49,"G01_Up,G38_Down",G01_Up,G38_Down,0.782608695652174
50,"G47_Up,G38_Down",G47_Up,G38_Down,0.8181818181818182
51,"G38_Down,G47_Up",G38_Down,G47_Up,0.7397260273972602
52,"G38_Down,G32_Down",G38_Down,G32_Down,0.726027397260274
53,"G32_Down,G38_Down",G32_Down,G38_Down,0.7794117647058824
54,"G41_Down,G28_Down",G41_Down,G28_Down,0.796875
55,"G28_Down,G41_Down",G28_Down,G41_Down,0.7183098591549296
56,"G67_Up,G01_Up",G67_Up,G01_Up,0.8064516129032258
57,"G01_Up,G67_Up",G01_Up,G67_Up,0.7246376811594203
58,"G70_Down,G10_Down",G70_Down,G10_Down,0.7575757575757576
59,"G10_Down,G70_Down",G10_Down,G70_Down,0.7142857142857143
60,"G70_Down,G01_Up",G70_Down,G01_Up,0.7575757575757576
61,"G01_Up,G70_Down",G01_Up,G70_Down,0.7246376811594203
62,"G54_Up,G24_Down",G54_Up,G24_Down,0.746268656716418
63,"G24_Down,G54_Up",G24_Down,G54_Up,0.7936507936507936
64,"G54_Up,G01_Up",G54_Up,G01_Up,0.746268656716418
65,"G01_Up,G54_Up",G01_Up,G54_Up,0.7246376811594203
66,"G97_Down,G72_Up",G97_Down,G72_Up,0.8360655737704918
67,"G72_Up,G01_Up",G72_Up,G01_Up,0.7027027027027027
68,"G01_Up,G72_Up",G01_Up,G72_Up,0.7536231884057971
69,"G72_Up,G13_Down",G72_Up,G13_Down,0.7162162162162162
70,"G13_Down,G72_Up",G13_Down,G72_Up,0.7794117647058824
71,"G96_Down,G72_Up",G96_Down,G72_Up,0.8309859154929577
72,"G72_Up,G96_Down",G72_Up,G96_Down,0.7972972972972973
73,"G82_Down,G72_Up",G82_Down,G72_Up,0.8529411764705882
74,"G72_Up,G82_Down",G72_Up,G82_Down,0.7837837837837838
75,"G32_Down,G72_Up",G32_Down,G72_Up,0.7352941176470589
