,RULE,BODY,HEAD,CONFIDENCE
0,"G97_Down,G72_Up",G97_Down,G72_Up,0.8360655737704918
1,"G97_Down,G82_Down",G97_Down,G82_Down,0.8360655737704918
2,"G82_Down,G97_Down",G82_Down,G97_Down,0.75
3,"G02_Down,G38_Down",G02_Down,G38_Down,0.7575757575757576
4,"G28_Down,G02_Down",G28_Down,G02_Down,0.704225352112676
5,"G02_Down,G28_Down",G02_Down,G28_Down,0.7575757575757576
6,"G32_Down,G06_Up",G32_Down,G06_Up,0.7352941176470589
7,"G06_Up,G32_Down",G06_Up,G32_Down,0.7575757575757576
8,"G06_Up,G38_Down",G06_Up,G38_Down,0.7575757575757576
9,"G28_Down,G06_Up",G28_Down,G06_Up,0.704225352112676
10,"G06_Up,G28_Down",G06_Up,G28_Down,0.7575757575757576
11,"G13_Down,G06_Up",G13_Down,G06_Up,0.7352941176470589
12,"G06_Up,G13_Down",G06_Up,G13_Down,0.7575757575757576
13,"G06_Up,G59_Up",G06_Up,G59_Up,0.7727272727272727
14,"G91_Up,G38_Down",G91_Up,G38_Down,0.8153846153846154
15,"G38_Down,G91_Up",G38_Down,G91_Up,0.726027397260274
16,"G67_Up,G38_Down",G67_Up,G38_Down,0.8225806451612904
17,"G67_Up,G01_Up",G67_Up,G01_Up,0.8064516129032258
18,"G01_Up,G67_Up",G01_Up,G67_Up,0.7246376811594203
19,"G88_Down,G08_Up",G88_Down,G08_Up,0.7183098591549296
20,"G08_Up,G88_Down",G08_Up,G88_Down,0.7727272727272727
21,"G65_Down,G38_Down",G65_Down,G38_Down,0.819672131147541
22,"G88_Down,G54_Up",G88_Down,G54_Up,0.7323943661971831
23,"G54_Up,G88_Down",G54_Up,G88_Down,0.7761194029850746
24,"G88_Down,G10_Down",G88_Down,G10_Down,0.7323943661971831
25,"G10_Down,G88_Down",G10_Down,G88_Down,0.7428571428571429
26,"G88_Down,G87_Up",G88_Down,G87_Up,0.7605633802816901
27,"G87_Up,G88_Down",G87_Up,G88_Down,0.8059701492537313
28,"G88_Down,G38_Down",G88_Down,G38_Down,0.704225352112676
29,"G88_Down,G28_Down",G88_Down,G28_Down,0.7323943661971831
30,"G28_Down,G88_Down",G28_Down,G88_Down,0.7323943661971831
31,"G88_Down,G24_Down",G88_Down,G24_Down,0.704225352112676
32,"G24_Down,G88_Down",G24_Down,G88_Down,0.7936507936507936
33,"G88_Down,G59_Up",G88_Down,G59_Up,0.7746478873239436
34,"G59_Up,G88_Down",G59_Up,G88_Down,0.7236842105263158
35,"G88_Down,G41_Down",G88_Down,G41_Down,0.7323943661971831
36,"G41_Down,G88_Down",G41_Down,G88_Down,0.8125
37,"G32_Down,G72_Up",G32_Down,G72_Up,0.7352941176470589
38,"G82_Down,G72_Up",G82_Down,G72_Up,0.8529411764705882
39,"G72_Up,G82_Down",G72_Up,G82_Down,0.7837837837837838
40,"G96_Down,G72_Up",G96_Down,G72_Up,0.8309859154929577
41,"G72_Up,G96_Down",G72_Up,G96_Down,0.7972972972972973
42,"G72_Up,G13_Down",G72_Up,G13_Down,0.7162162162162162
43,"G13_Down,G72_Up",G13_Down,G72_Up,0.7794117647058824
44,"G72_Up,G59_Up",G72_Up,G59_Up,0.8378378378378378
45,"G59_Up,G72_Up",G59_Up,G72_Up,0.8157894736842105
46,"G72_Up,G01_Up",G72_Up,G01_Up,0.7027027027027027
47,"G01_Up,G72_Up",G01_Up,G72_Up,0.7536231884057971
48,"G54_Up,G24_Down",G54_Up,G24_Down,0.746268656716418
49,"G24_Down,G54_Up",G24_Down,G54_Up,0.7936507936507936
50,"G54_Up,G01_Up",G54_Up,G01_Up,0.746268656716418
51,"G01_Up,G54_Up",G01_Up,G54_Up,0.7246376811594203
52,"G38_Down,G10_Down",G38_Down,G10_Down,0.726027397260274
53,"G10_Down,G38_Down",G10_Down,G38_Down,0.7571428571428571
54,"G28_Down,G10_Down",G28_Down,G10_Down,0.7183098591549296
55,"G10_Down,G28_Down",G10_Down,G28_Down,0.7285714285714285
56,"G70_Down,G10_Down",G70_Down,G10_Down,0.7575757575757576
57,"G10_Down,G70_Down",G10_Down,G70_Down,0.7142857142857143
58,"G47_Up,G10_Down",G47_Up,G10_Down,0.7727272727272727
59,"G10_Down,G47_Up",G10_Down,G47_Up,0.7285714285714285
60,"G10_Down,G59_Up",G10_Down,G59_Up,0.7142857142857143
61,"G10_Down,G01_Up",G10_Down,G01_Up,0.7142857142857143
62,"G01_Up,G10_Down",G01_Up,G10_Down,0.7246376811594203
63,"G94_Up,G10_Down",G94_Up,G10_Down,0.8064516129032258
64,"G10_Down,G94_Up",G10_Down,G94_Up,0.7142857142857143
65,"G38_Down,G32_Down",G38_Down,G32_Down,0.726027397260274
66,"G32_Down,G38_Down",G32_Down,G38_Down,0.7794117647058824
67,"G32_Down,G28_Down",G32_Down,G28_Down,0.7352941176470589
68,"G28_Down,G32_Down",G28_Down,G32_Down,0.704225352112676
69,"G32_Down,G59_Up",G32_Down,G59_Up,0.7647058823529411
70,"G96_Down,G82_Down",G96_Down,G82_Down,0.7323943661971831
71,"G82_Down,G96_Down",G82_Down,G96_Down,0.7647058823529411
72,"G82_Down,G13_Down",G82_Down,G13_Down,0.75
73,"G13_Down,G82_Down",G13_Down,G82_Down,0.75
74,"G82_Down,G59_Up",G82_Down,G59_Up,0.8382352941176471
75,"G59_Up,G82_Down",G59_Up,G82_Down,0.75
76,"G96_Down,G59_Up",G96_Down,G59_Up,0.8591549295774648
77,"G59_Up,G96_Down",G59_Up,G96_Down,0.8026315789473685
78,"G87_Up,G28_Down",G87_Up,G28_Down,0.7761194029850746
79,"G28_Down,G87_Up",G28_Down,G87_Up,0.7323943661971831
80,"G87_Up,G59_Up",G87_Up,G59_Up,0.7611940298507462
81,"G38_Down,G28_Down",G38_Down,G28_Down,0.7534246575342466
82,"G28_Down,G38_Down",G28_Down,G38_Down,0.7746478873239436
83,"G70_Down,G38_Down",G70_Down,G38_Down,0.8181818181818182
84,"G38_Down,G70_Down",G38_Down,G70_Down,0.7397260273972602
85,"G47_Up,G38_Down",G47_Up,G38_Down,0.8181818181818182
86,"G38_Down,G47_Up",G38_Down,G47_Up,0.7397260273972602
87,"G52_Down,G38_Down",G52_Down,G38_Down,0.8461538461538461
88,"G38_Down,G52_Down",G38_Down,G52_Down,0.7534246575342466
89,"G38_Down,G59_Up",G38_Down,G59_Up,0.726027397260274
90,"G38_Down,G01_Up",G38_Down,G01_Up,0.7397260273972602
91,"G01_Up,G38_Down",G01_Up,G38_Down,0.782608695652174
92,"G41_Down,G38_Down",G41_Down,G38_Down,0.78125
93,"G94_Up,G38_Down",G94_Up,G38_Down,0.8225806451612904
94,"G47_Up,G28_Down",G47_Up,G28_Down,0.7727272727272727
95,"G28_Down,G47_Up",G28_Down,G47_Up,0.7183098591549296
96,"G52_Down,G28_Down",G52_Down,G28_Down,0.8
97,"G28_Down,G52_Down",G28_Down,G52_Down,0.7323943661971831
98,"G28_Down,G13_Down",G28_Down,G13_Down,0.704225352112676
99,"G13_Down,G28_Down",G13_Down,G28_Down,0.7352941176470589
100,"G28_Down,G59_Up",G28_Down,G59_Up,0.7183098591549296
101,"G41_Down,G28_Down",G41_Down,G28_Down,0.796875
102,"G28_Down,G41_Down",G28_Down,G41_Down,0.7183098591549296
103,"G70_Down,G01_Up",G70_Down,G01_Up,0.7575757575757576
104,"G01_Up,G70_Down",G01_Up,G70_Down,0.7246376811594203
105,"G59_Up,G13_Down",G59_Up,G13_Down,0.7105263157894737
106,"G13_Down,G59_Up",G13_Down,G59_Up,0.7941176470588235
107,"G01_Up,G59_Up",G01_Up,G59_Up,0.7681159420289855
108,"G72_Up, G82_Down,G59_Up","G72_Up, G82_Down",G59_Up,0.896551724137931
109,"G59_Up, G82_Down,G72_Up","G59_Up, G82_Down",G72_Up,0.9122807017543859
110,"G59_Up, G72_Up,G82_Down","G59_Up, G72_Up",G82_Down,0.8387096774193549
111,"G82_Down,G59_Up, G72_Up",G82_Down,"G59_Up, G72_Up",0.7647058823529411
112,"G72_Up,G59_Up, G82_Down",G72_Up,"G59_Up, G82_Down",0.7027027027027027
113,"G72_Up, G96_Down,G59_Up","G72_Up, G96_Down",G59_Up,0.864406779661017
114,"G59_Up, G96_Down,G72_Up","G59_Up, G96_Down",G72_Up,0.8360655737704918
115,"G59_Up, G72_Up,G96_Down","G59_Up, G72_Up",G96_Down,0.8225806451612904
116,"G96_Down,G59_Up, G72_Up",G96_Down,"G59_Up, G72_Up",0.7183098591549296
